Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
raejuusto lakka 130g lakton,Maito:351,Välipala:2648,Muu välipala:2651,g,514.0,4.0,12.0,9.5,0.2,,,
bf welldone härkä 3-pack 45g,Lemmikit:1337,Koiranruoat:1338,Koiran makupalat:1368,g,0.0,18.0,,40.0,,1.0,Koiran lihaliuskat ja tikut:1374,
nestlé 8kpl/192g choco hot creamy,Juomat:994,Kaakaot:1012,Kaakaomaitojuomajauheet:1014,g,206.0,0.9,8.9,1.0,0.15,0.5,,
sipulisämpylä4/pss320gpirjonpakari,Leipä:701,Tuore leipä:702,Sekaleivät:714,g,941.0,2.4,41.5,8.9,1.1,3.7,,
alpro 4x125g tummasuklaa soijavanuk,Maito:351,Vanukas ja jälkiruoka:2626,Ei-maitopohjainen vanukas:2631,g,396.0,2.3,14.7,3.0,0.14,1.4,,
hetki tomaatti 250g miniluumu,Hedelmät ja vihannekset:1,Vihannekset:40,Tomaatit:41,g,96.0,0.3,3.5,0.6,,1.4,,
eila rahkavaahto 100g mans lton,Maito:351,Vanukas ja jälkiruoka:2626,Perusvanukas:2630,g,447.0,4.0,14.0,3.7,0.25,,,
eila rahkav 100g hedelmä lton,Maito:351,Välipala:2648,Herkutteluvälipalarahka:2650,g,485.0,3.5,15.0,5.7,0.15,,,
atria 300g aasialainen vinaigrette,Valmisruoka:497,Salaatit:498,Raaste- ja tuoresalaatit:501,g,860.0,11.0,9.9,0.9,0.7,1.7,,
taf flavor max 130g wasabi ma js,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Muotosnacksit:1215,g,2322.0,37.0,49.0,5.7,2.1,,,
novelle plus multib+c 1,Juomat:994,Vedet:1028,Hyvinvointivesi:2954,g,70.0,0.0,4.0,0.0,,0.0,,
puikula 330g täysjyväruis ruisleip,Leipä:701,Tuore leipä:702,Tummat palaleivät:710,g,1039.0,1.7,41.0,12.0,1.1,10.0,,
hätälä 250g lohipyörykkä,Kala:262,Kalajalosteet:339,,g,1193.0,19.0,12.1,16.2,0.9,,,
kismet 55g suklaavohveli,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Keksisuklaapatukat:1150,g,2203.0,30.0,56.0,8.0,0.38,,,
pl porin poika 6kpl/300g ru,Leipä:701,Tuore leipä:702,Tummat palaleivät:710,g,1080.0,1.6,51.0,9.5,100.0,7.9,,
ristor 370g mozzar gluteeniton pizz,Valmisruoka:497,Pakastepizzat:535,Muut pak pizzat:540,g,920.0,10.0,21.0,10.0,0.94,,,
kotim 500g br fileeleike hunajamar.,Liha:80,"Broileri, kana & kalkkuna:186","Br. pihvit, leik. ja puolivalm.:190",g,418.0,5.0,2.8,16.0,,,,
kukkakaali,Pakasteet:1075,Vihannes- ja juurespakasteet:1087,Kasvispakast yksitt:1090,g,85.0,0.1,2.7,1.2,0.1,1.9,,
protein dream 45g wh cho&cook prote,Terveystuotteet:12129,Urheiluravinteet:12482,Urheiluravinnepatukat ja -geelit:12496,g,1514.0,11.0,37.0,33.0,0.55,2.2,,
nix 45 g vanilja,Terveystuotteet:12129,Urheiluravinteet:12482,Urheiluravinnepatukat ja -geelit:12496,g,1787.0,17.0,39.0,32.0,0.5,,,
bf bilanx viljaton - lohi 750g,Lemmikit:1337,Kissanruoat:1397,Kuivat kissanruoat:1398,g,1748.0,22.0,,32.0,,,Kissan sensitive ruoka:1399,
järvikylä min15g vehnänoras,Hedelmät ja vihannekset:1,Vihannekset:40,Muut vihannekset:56,g,92.0,0.2,2.2,2.0,0.04,1.1,Maustevihannekset:12048,
järvikylä min120g ruust sal,Hedelmät ja vihannekset:1,Vihannekset:40,Salaatit:49,g,45.0,0.2,1.0,1.1,0.0625,1.0,Erikoissalaatit:11787,
tesco salted caramel fudge 150g,"Makeiset, jäätelöt ja naposteltavat:1144","Sesonki-, lahja- ja kausimakeiset:1178",Muut makeisrasiat:1181,g,1912.0,15.2,76.9,0.5,1.1,1.0,,
fc 150g raksu maitosuklaa utz,"Makeiset, jäätelöt ja naposteltavat:1144",Karkkipussit:1155,Suklaamakeispussit ja -pakkaukset:1160,g,2112.0,26.0,58.0,7.0,0.12,4.4,,
nmkp 400g of appelsiini-inkivääri,Juomat:994,Mehut:1018,Juomavalmiit mehut ja juomat:1021,g,230.0,0.1,11.7,0.5,,0.5,,
taf dippi 19g makea chili dippimaus,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Dippikastikkeet:1219,g,1500.0,1.2,82.0,3.5,10.0,,,
kuusamon 1kg paimenpoika kermajuust,Juustot:417,Kermajuusto:437,Kermajuustopalat:2823,g,1600.0,32.0,0.0,24.0,1.3,,,
julia 10% 410g kasvirasvavalmiste,Juustot:417,Muut juustot:1737,Kasvirasvajuustopalat:2895,g,1005.0,10.0,2.0,35.0,0.85,,,
crème bonjour 240g cuisine chili&pa,Maito:351,Ruoanvalmistustuotteet:371,Ranskankermat kylmästä:1781,g,630.0,13.0,5.0,3.5,1.3,,,
apetina 100g yrtit ja mauste snack,Juustot:417,Ruokajuustot:447,Fetatyyppiset juustot:2857,g,1344.0,29.0,0.6,16.0,3.0,,,
korpela 200g kevyt kinkkusuikale,Liha:80,Muut lihat ja lihajalosteet:230,"Suikaleet, kuutiot ja rouheet:3023",g,420.0,5.0,1.0,13.0,1.9,,,
banaani luomu,Hedelmät ja vihannekset:1,Hedelmät:2,Banaanit:18,g,364.0,0.1127,18.3,1.06,0.3,1.8,,
hedtarha luomtäysm musther-hed 1l,Rasvat ja öljyt:476,Rypsiöljyt:485,Ei kylmäpuristetut rypsiöljyt:486,g,3700.0,100.0,0.0,0.0,0.0,0.0,,
naudanlihameetwursti 80g,Liha:80,Leikkeleet:226,Meetvurstit:228,g,743.0,11.0,0.9,25.0,4.3,,,
kariniemen 150g ranskan ratatouille,"Makeiset, jäätelöt ja naposteltavat:1144",Karkkipussit:1155,Suklaamakeispussit ja -pakkaukset:1160,g,1952.0,17.0,71.0,2.9,0.03,,,
arla tolkuton 1kg cheddar,Juustot:417,Muut juustot:1737,Muut perusjuustopalat:2897,g,1618.0,32.0,0.0,26.0,1.8,,,
fanta appelsiini 50 cl kmp,Juomat:994,Virvoitusjuomat:1022,Appelsiinivirvoitusjuomat:1025,g,184.0,0.0,10.6,0.0,0.0,,,
hk 1kg nauta-sika jauheliha 20%,Liha:80,Jauheliha:167,Jauhelihat:168,g,1100.0,22.0,0.0,17.0,0.2,,,
castello 150g white valkohomejuusto,Juustot:417,Homejuusto:429,Homejuustot:2813,g,1666.0,38.0,0.3,14.0,1.5,,,
forlasa 180g tabledeques juustolaji,Juustot:417,Kypsytetyt juustot:443,Muut kypsytetyt juustot:2845,g,1711.0,34.0,2.3,22.0,1.7,,,
oatly påmackan 150g tomaatti/basili,,,,g,937.0,19.0,9.6,3.1,1.23,0.9,,
latz 400g countryside sensations na,Lemmikit:1337,Kissanruoat:1397,Kuivat kissanruoat:1398,g,0.0,10.0,,30.0,,2.0,Kissan perusruoka <1kg:1403,
mini babybel 120g juusto,Juustot:417,Kypsytetyt juustot:443,Muut kypsytetyt juustot:2845,g,1279.0,31.0,0.5,6.0,1.8,,,
valio pehmeä raejuusto 200g,Juustot:417,Ruokajuustot:447,Raejuustot:2858,g,347.0,2.4,3.2,12.0,0.8,,,
arla keittiö 200g mango lton rahka,Maito:351,Ruoanvalmistustuotteet:371,Rahkat kylmästä:1777,g,660.0,7.0,16.0,7.3,0.1,,,
sol lager olut 4,Juomat:994,Oluet:1041,Vaalea lager olut:2961,g,170.0,0.0,3.0,0.4,,,,
geisha 320g dark tumma suklaakonv,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Keksisuklaapatukat:1150,g,2234.0,32.0,52.0,8.0,0.33,,,
eila kreik jog 150 g uuniomena lton,Maito:351,Jogurtit:390,Herkuttelujogurtti:2599,g,500.0,4.7,12.0,5.4,0.1,,,
elonen piiras raparp-vanilja 150g,Leipä:701,Kondituoriatuotteet:736,"Leivokset, kylmästä:744",g,1382.0,17.0,41.9,3.3,0.2,1.0,,
kan val spelttikeksi 100g suolakeks,Leipä:701,Keksit:767,Voileipä- ja suolakeksit:770,g,1800.0,7.0,79.0,9.8,2.1,2.0,,
karl fazer 200g hasselrouhe sukllev,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2223.0,30.0,51.0,8.2,0.14,,,
kotimaista 430g br ohutleike mö,Liha:80,"Broileri, kana & kalkkuna:186","Br. pihvit, leik. ja puolivalm.:190",g,460.0,2.1,0.0,23.0,0.13,,,
tuplatoffeevanukas,Maito:351,Vanukas ja jälkiruoka:2626,Perusvanukas:2630,g,526.0,4.9,18.0,2.3,,,,
järvikylä min10g viinisuolaheinä,Hedelmät ja vihannekset:1,Yrtit:79,,g,61.0,0.3,1.5,1.4,0.29625,1.4,,
omena ida red,Hedelmät ja vihannekset:1,Hedelmät:2,Omenat:10,g,161.0,0.0396,8.16,0.16,0.8,1.5,"Omenat, punaiset:12",
yosa kauravälipala 2x125g persik-pa,Maito:351,Jogurtit:390,Ei-maitopohjainen valmiste:2601,g,230.0,0.6,12.5,1.2,0.03,1.1,,
marli vital 1l appelsiini-mangojuo,Juomat:994,Mehut:1018,Juomavalmiit mehut ja juomat:1021,g,183.0,0.1,10.3,1.0,0.0,,,
valio täysmaito 1l hyla uht,Maito:351,Maito:352,Erikoismaidot lämpimästä:1750,g,270.0,3.5,4.8,3.2,0.1,0.0,,
valio arkirae 500g,Juustot:417,Ruokajuustot:447,Raejuustot:2858,g,294.0,1.0,2.1,13.0,0.7,,,
marli vital 1l must-aron-rypäl meju,Juomat:994,Mehut:1018,Juomavalmiit mehut ja juomat:1021,g,158.0,0.1,9.3,0.1,0.0,,,
wanhanajan nakki 380 g,Liha:80,Ruokamakkarat:220,Nakit:222,g,961.0,24.2,0.3,13.9,2.1,,,
porkkanasämpylä4/pss320gpirjonpakar,Leipä:701,"Leipä-, leivonnais- & taikinapakasteet:789",Eritruovalleivät:796,g,971.0,5.6,41.0,3.3,1.1,3.3,,
persikanpuol mehussa 410g,Kuivatuotteet:895,Säilykkeet:941,Hedelmä ja marjasäil:946,g,227.0,0.0,12.0,0.6,,,,
dansukker 1kg hillosokeri,Leivonta ja maustaminen:807,"Sokerit, makeutusaineet ja hunaja:808",Sokerit:812,g,1684.0,0.0,99.0,0.0,0.07,,,
meira vaniljasokeri 40g pussi,Leivonta ja maustaminen:807,Leivontatarvikkeet:827,Leivontaperustuotteet:831,g,1703.0,0.0,99.0,0.0,0.0,,,
mp pyöreä piirtaikina makea 380g pa,Leipä:701,"Leipä-, leivonnais- & taikinapakasteet:789",Muut pakastetaikinat:794,g,1748.0,22.0,47.0,7.0,0.91,2.3,,
kotimaista smetana 35%120g lakt.,Maito:351,Ruoanvalmistustuotteet:371,Smetanat kylmästä:1770,g,1370.0,35.0,2.5,2.0,0.1,0.0,,
kotimaista 2dl vaaht vaniljakast,Maito:351,Jälkiruokakastikkeet:415,,g,730.0,9.8,18.0,3.6,0.25,0.3,,18.0
atria 900g bbq b grillileike,Liha:80,Naudanliha:178,Naudan pata- ja keittolihat:179,g,364.0,4.4,3.1,8.0,0.75,1.1,,
pekoniviipaleet,Liha:80,Leikkeleet:226,Pekonit:1703,g,1138.0,24.0,0.0,14.0,2.5,,,
tuna chunks in oil,Kala:262,Kalasäilykkeet:340,Tonnikalasäilykkeet:343,g,0.0,,0.0,,,,,
hedelmätarha omena-mango mehu 1 l,Juomat:994,Mehut:1018,Juomavalmiit mehut ja juomat:1021,g,190.0,0.0,10.7,0.0,0.0,,,
paprika pun/kelt suomi,Hedelmät ja vihannekset:1,Vihannekset:40,Paprikat:43,g,122.0,0.21,4.5,0.94,0.0,1.9,,
jalapeno green,Kuivatuotteet:895,Tex-mex:935,Texmex-säilykkeet:939,g,68.0,0.0,1.4,0.9,,,,
görans kebabkastike 400ml,Leivonta ja maustaminen:807,Maustekastikkeet:867,Muut maustekastikkeet:872,g,1340.0,31.0,11.0,0.8,2.2,0.9,,
kotimaista 450g kermajuusto 17%,Juustot:417,Kermajuusto:437,Kermajuustopalat:2823,g,1100.0,17.0,0.0,30.0,1.2,,,
lipsi päärynälimonadijää 70ml/68g,Pakasteet:1075,Jäätelöt:1136,Mehujäät:1140,g,420.0,0.0,25.0,0.5,0.01,,,
jääsalaatti pak.,Hedelmät ja vihannekset:1,Vihannekset:40,Salaatit:49,g,54.0,0.1367,0.98,1.12,0.02,1.2,Jääsalaatit:11790,
daim 56g  2-pack,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Energiasuklaapatukat:1151,g,2215.0,31.0,59.5,2.8,0.85,1.2,,
muut rypäleet,Hedelmät ja vihannekset:1,Hedelmät:2,Rypäleet:19,g,310.0,0.0611,15.5,0.75,0.0,1.1,Muut rypäleet:23,
kotimaista 0,Juomat:994,Vedet:1028,Kivennäisvesi:2952,g,0.0,0.0,0.0,0.0,0.0,,,
marabou  320g oreo,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2320.0,34.0,55.5,5.4,0.57,1.4,,
korp 200g suussa sulav paahtokinkku,Liha:80,Leikkeleet:226,Kokolihaleikkeleet:229,g,410.0,3.0,1.0,17.0,1.9,,,
pulled pork 0,Liha:80,Muut lihat ja lihajalosteet:230,"Suikaleet, kuutiot ja rouheet:3023",g,661.0,9.1,0.4,18.6,2.1,,,
pehmeä rahka mans 150g ston,Maito:351,Välipala:2648,Perusvälipalarahka:2649,g,238.0,0.3,4.4,9.2,0.1,,,
hk n700g vpo pihvifilee,Liha:80,Porsaanliha:170,Porsaan fileet:174,g,455.0,3.8,0.5,18.0,0.8,,,
mozzarella helmet,Juustot:417,Ruokajuustot:447,Mozzarellajuustot:2859,g,1076.0,19.7,1.52,18.9,,,,
herkkusieni jumbo,Hedelmät ja vihannekset:1,Sienet:77,,g,67.0,0.2107,0.3,2.1,0.0,1.5,,
kuusamon 500g paimenpoika kermajuus,Juustot:417,Kermajuusto:437,Kermajuustopalat:2823,g,1600.0,32.0,0.0,24.0,1.3,,,
valio luomu  turk jog 400g,Maito:351,Ruoanvalmistustuotteet:371,Ruoanvalmistusjogurtit kylmästä:1783,g,500.0,10.0,3.5,3.4,0.11,,,
fazer travel 130g mint cho sukllevy,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2249.0,32.0,49.0,8.6,0.16,,,
creamy 461g/0,Pakasteet:1075,Jäätelöt:1136,Kotipakkaukset:1138,g,962.0,9.7,32.0,3.8,0.52,,,
leivo proterve! 300g,Leipä:701,Tuore leipä:702,Vaaleat palaleivät:703,g,1345.0,15.0,30.0,10.8,1.1,9.9,,
panda maitosuklaa 145g maitosuklaa,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2264.0,31.0,55.0,7.8,0.27,,,
pan vadelmamuruvalksukl 145g valkos,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Valkosuklaalevyt:1147,g,2284.0,31.0,58.0,7.4,0.28,,,
cashew natural,Leivonta ja maustaminen:807,Kuivat hedelmät ja pähkinät:839,Mantelit ja pähkinät:2764,g,2550.0,46.0,24.0,23.0,0.04,,,
jenkki pro 70g ksyl.sydän spearmint,"Makeiset, jäätelöt ja naposteltavat:1144",Purukumit:1168,Purukumipussit ja -pakkaukset>60g:1170,g,649.0,0.0,63.0,0.0,0.0,1.7,,
suffeli puffi snacks 180g,"Makeiset, jäätelöt ja naposteltavat:1144",Karkkipussit:1155,Suklaamakeispussit ja -pakkaukset:1160,g,2238.0,32.0,57.0,6.9,0.26,,,
findus 250g täysjyv kalafileet msc,Kala:262,Kalapakasteet:346,Paneroidut kalapakas:350,g,807.0,13.0,14.0,13.0,1.1,2.1,,
felix 1250g ketchup,Kuivatuotteet:895,Kastikkeet:957,Tomaattiketsupit:960,g,360.0,0.0,18.0,1.1,2.2,,,
saar 300g savuporo-juustokeitto,Valmisruoka:497,Keitot:1797,Lihakeitot:3071,g,110.0,7.1,6.0,4.9,0.96,0.2,,
elovena 10x30g karpalo-kinusk keksi,Leipä:701,Keksit:767,Välipalakeksit:778,g,1800.0,15.0,61.0,8.0,0.8,8.5,,
halva wanhan ajan lakritsi 450g,"Makeiset, jäätelöt ja naposteltavat:1144",Karkkipussit:1155,Lakritsimakeispussit ja -pakkaukset:1162,g,1347.0,0.7,74.0,3.8,0.01,,,
knorr 570ml mausteinen tomaattikeit,Valmisruoka:497,Keitot:1797,Valmiit kasviskeitot:3085,g,218.0,2.7,5.8,1.2,0.7,1.0,,
suffeli bites pätkis 175g vohkeksi,Leipä:701,Keksit:767,Vohvelit:772,g,2257.0,32.0,56.0,7.1,0.32,,,
kariniemen 450g kp fileesuikale int,Liha:80,"Broileri, kana & kalkkuna:186",Broilerin suikaleet ja kuutiot:196,g,391.0,2.7,0.9,16.0,1.2,,,
kantarelli chips,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Perunalastut:1213,g,2217.0,33.0,51.0,5.6,1.4,,,
klementiini,Hedelmät ja vihannekset:1,Hedelmät:2,Sitrushedelmät:3,g,190.0,0.2,9.0,0.8,,1.9,Mandariinit:8,
cookie dough ice cream,Pakasteet:1075,Jäätelöt:1136,Kotipakkaukset:1138,g,1008.0,11.4,31.0,3.3,0.2,,,
atria 400g luomu n jauheliha 12%,Liha:80,Jauheliha:167,Jauhelihat:168,g,759.0,12.0,0.0,19.0,0.14,0.0,,
del monte 230g ananaspaloja mehussa,Kuivatuotteet:895,Säilykkeet:941,Hedelmä ja marjasäil:946,g,270.0,0.1,15.5,0.4,,,,
nix 45 g maapähkinä,Terveystuotteet:12129,Urheiluravinteet:12482,Urheiluravinnepatukat ja -geelit:12496,g,1753.0,17.0,38.0,32.0,0.5,,,
pepsi 1,Juomat:994,Virvoitusjuomat:1022,Colavirvoitusjuomat:1023,g,2.0,0.0,0.1,0.1,0.25,0.0,,
pätkis 320g suklaakonvehteja,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2297.0,34.0,53.0,8.3,0.23,,,
vesimeloni (palana),Hedelmät ja vihannekset:1,Hedelmät:2,Muut hedelmät:32,g,154.0,0.3,7.1,0.91,0.0,1.1,Melonit:12041,
karjala 4,Juomat:994,Oluet:1041,Vaalea lager olut:2961,g,161.0,0.0,3.0,0.3,,0.0,,
suklaa-appelsiinikrokantti 850 ml,Pakasteet:1075,Jäätelöt:1136,Kotipakkaukset:1138,g,439.0,3.9,15.0,1.7,0.08,,,
kn 200-400g savuklpala vak hin,Maito:351,Viilit:399,Maustamaton viili:402,g,170.0,1.0,4.8,3.0,0.1,,,
marabou 200g maitosuklaa,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2290.0,32.0,58.5,4.7,0.33,2.0,,
crème bonjour 240g cuisine tilli&si,Maito:351,Ruoanvalmistustuotteet:371,Ranskankermat kylmästä:1781,g,630.0,14.0,4.5,3.0,1.3,,,
